admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Sleman,ID3404,,,,Daerah Istimewa Yogyakarta,ID34,Indonesia,ID,2019-12-20,2020-04-01,
Kota Yogyakarta,ID3471,,,,Daerah Istimewa Yogyakarta,ID34,Indonesia,ID,2019-12-20,2020-04-01,
Pacitan,ID3501,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Ponorogo,ID3502,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Trenggalek,ID3503,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Tulungagung,ID3504,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Blitar,ID3505,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Kediri,ID3506,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Malang,ID3507,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Lumajang,ID3508,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Jember,ID3509,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Banyuwangi,ID3510,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Bondowoso,ID3511,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Situbondo,ID3512,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Probolinggo,ID3513,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Pasuruan,ID3514,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Sidoarjo,ID3515,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Mojokerto,ID3516,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Jombang,ID3517,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Nganjuk,ID3518,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Madiun,ID3519,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Magetan,ID3520,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Ngawi,ID3521,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Bojonegoro,ID3522,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Tuban,ID3523,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Lamongan,ID3524,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
Gresik,ID3525,,,,Jawa Timur,ID35,Indonesia,ID,2019-12-20,2020-04-01,
