admin2Name_en,admin2Name_bg,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_bg,admin2AltName2_bg,admin1Name_en,admin1Name_bg,admin1Pcode,admin0Name_en,admin0Name_bg,admin0Pcode,date,validOn,validTo
Kostinbrod,,BG020015,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Mirkovo,,BG020016,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Pirdop,,BG020017,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Pravets,,BG020018,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Samokov,,BG020019,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Slivnitsa,,BG020020,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Svoge,,BG020021,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Zlatitsa,,BG020022,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Sofia City,,BG021001,,,,,,Sofia-City,София-град,BG021,Bulgaria,България,BG,2019-09-16,2019-09-16,
Bratya Daskalovi,,BG022001,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
Chirpan,,BG022002,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
Galabovo,,BG022003,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
Gurkovo,,BG022004,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kazanlak,,BG022005,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
Maglizh,,BG022006,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
Nikolaevo,,BG022007,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
