#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:496:2:8328,8328,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8328,Sagsai,Сагсай,MN8328,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8331,8331,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8331,Tolbo,Толбо,MN8331,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8334,8334,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8334,Ulaanxus,Улаанхус,MN8334,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8340,8340,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8340,Cengel,Цэнгэл,MN8340,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8401,8401,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8401,Jargalant,Жаргалант,MN8401,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8404,8404,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8404,Altai,Алтай,MN8404,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8407,8407,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8407,Bulgan,Булган,MN8407,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8410,8410,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8410,Buyant,Буянт,MN8410,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8413,8413,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8413,Darvi,Дарви,MN8413,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8416,8416,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8416,Do'rgon,Дөргөн,MN8416,Dorgon,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8419,8419,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8419,Duut,Дуут,MN8419,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8422,8422,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8422,Zereg,Зэрэг,MN8422,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8425,8425,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8425,Manxan,Манхан,MN8425,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8428,8428,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8428,Mo'nxxairxan,Мөнххайрхан,MN8428,Monxxairxan,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8431,8431,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8431,Mo'st,Мөст,MN8431,Most,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8434,8434,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8434,Myangad,Мянгад,MN8434,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8437,8437,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8437,U'yench,Үенч,MN8437,Uyench,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8440,8440,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8440,Xovd,Ховд,MN8440,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8443,8443,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8443,Ceceg,Цэцэг,MN8443,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8446,8446,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8446,Chandmani,Чандмань,MN8446,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8449,8449,1603:45:16:496:0,1603:45:16:496:1:84,1603:45:16:496:2:8449,Erdenebu'ren,Эрдэнэбүрэн,MN8449,Erdeneburen,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8501,8501,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8501,Ulaangom,Улаангом,MN8501,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8504,8504,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8504,Baruunturuun,Баруунтуруун,MN8504,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8507,8507,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8507,Bo'xmoron,Бөхмөрөн,MN8507,Boxmoron,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8510,8510,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8510,Davst,Давст,MN8510,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8513,8513,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8513,Zavxan,Завхан,MN8513,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8516,8516,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8516,Zu'ungovi,Зүүнговь,MN8516,Zuungovi,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8519,8519,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8519,Zu'unxangai,Зүүнхангай,MN8519,Zuunxangai,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8522,8522,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8522,Malchin,Малчин,MN8522,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8525,8525,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8525,Naranbulag,Наранбулаг,MN8525,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8528,8528,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8528,O'lgii,Өлгий,MN8528,Olgii,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8531,8531,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8531,O'mnogovi,Өмнөгөвь,MN8531,Omnogovi,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8534,8534,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8534,O'ndorxangai,Өндөрхангай,MN8534,Ondorxangai,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8537,8537,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8537,Sagil,Сагил,MN8537,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8540,8540,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8540,Tarialan,Тариалан,MN8540,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8543,8543,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8543,Tu'rgen,Түргэн,MN8543,Turgen,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8546,8546,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8546,Tes,Тэс,MN8546,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8549,8549,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8549,Xovd,Ховд,MN8549,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8552,8552,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8552,Xyargas,Хяргас,MN8552,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8555,8555,1603:45:16:496:0,1603:45:16:496:1:85,1603:45:16:496:2:8555,Cagaanxairxan,Цагаанхайрхан,MN8555,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2020-10-26,2021-02-11,
