#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Lalibela town,ET030398,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Kobo town,ET030399,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Argoba,ET030401,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Tenta,ET030402,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Kutaber,ET030403,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Ambasel,ET030404,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Thehulederie,ET030405,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Delanta,ET030406,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Kalu,ET030407,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Albuko,ET030408,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Dessie Zuria,ET030409,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Legambo,ET030410,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Sayint,ET030411,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Borena /Debresina,ET030412,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Kelela,ET030413,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Jama,ET030414,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Were Ilu,ET030415,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Wegde,ET030416,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Kombolcha town,ET030417,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Dessie town,ET030418,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Mehal Sayint,ET030419,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Legehida,ET030420,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Mekdela,ET030421,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Worebabu,ET030422,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Wereilu town,ET030423,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Wegel tena town,ET030424,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Degolo town,ET030425,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Kelala town,ET030426,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Akeseta town,ET030427,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Tulu Awlia,ET030428,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Harbu town,ET030429,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Mekane Selame,ET030498,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Hike town,ET030499,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Mida Woremo,ET030501,,,,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Merhabete,ET030502,,,,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Ensaro,ET030503,,,,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Moretna Jiru,ET030504,,,,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Menze Gera Midir,ET030505,,,,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Gishe Rabel,ET030506,,,,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Antsokiya,ET030507,,,,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Eferatana Gidem,ET030508,,,,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Menze Mama Midir,ET030509,,,,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Tarema Ber,ET030510,,,,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
