qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:818:2:1105,1105,1603:45:16:818:0,1603:45:16:818:1:11,1603:45:16:818:2:1105,Dumyat Al-Gadida,قسم مدينه دمياط الجديده,EG1105,Damietta,دمياط,EG11,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1106,1106,1603:45:16:818:0,1603:45:16:818:1:11,1603:45:16:818:2:1106,Ras al-Bar,قسم رأس البر,EG1106,Damietta,دمياط,EG11,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1107,1107,1603:45:16:818:0,1603:45:16:818:1:11,1603:45:16:818:2:1107,Zarqa,مركز الزرقا,EG1107,Damietta,دمياط,EG11,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1108,1108,1603:45:16:818:0,1603:45:16:818:1:11,1603:45:16:818:2:1108,Police Department Port of Damietta,إداره شرطه ميناء دمياط الجديد,EG1108,Damietta,دمياط,EG11,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1109,1109,1603:45:16:818:0,1603:45:16:818:1:11,1603:45:16:818:2:1109,Dumyat 2,قسم ثان دمياط,EG1109,Damietta,دمياط,EG11,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1201,1201,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1201,El Mansora 1,قسم اول المنصورة,EG1201,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1202,1202,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1202,E Mansora 2,قسم ثان المنصورة,EG1202,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1203,1203,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1203,El Mansora,مركز المنصورة,EG1203,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1204,1204,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1204,Aga,مركز أجا,EG1204,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1205,1205,1603:45:16:818:0,1603:45:16:818:1:12,1603:45:16:818:2:1205,Sinbillawin,مركز السنبلاوين,EG1205,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
