#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ar,#adm2+name+alt2+i_ar,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Madeinat Al Gedaref,مدينة القضارف,SD12080,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Wasat Al Gedaref,وسط القضارف,SD12081,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Mafaza,المفازة,SD12082,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Galabat Ash-Shargiah,القلابات الشرقية,SD12083,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ar Rahad,الرهد,SD12084,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Um Rawaba,أم روابة,SD13023,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Sheikan,شيكان,SD13024,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Soudari,سودري,SD13025,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Bara,بارا,SD13026,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Gebrat Al Sheikh,جبرة الشيخ,SD13027,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Um Dam Haj Ahmed,أم دم حاج أحمد,SD13028,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Gharb Bara,غرب بارا,SD13029,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ar Rahad,الرهد,SD13030,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Abu Hujar,أبو حجار,SD14037,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Sennar,سنار,SD14038,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ad Dali,الدالي,SD14039,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ad Dinder,الدندر,SD14040,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
As Suki,السوكي,SD14041,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Sharg Sennar,شرق سنار,SD14042,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Sinja,سنجة,SD14043,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Medani Al Kubra,مدني الكبري,SD15030,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Janub Al Jazirah,جنوب الجزيرة,SD15031,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Um Algura,أم القري,SD15032,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Sharg Al Jazirah,شرق الجزيرة,SD15033,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Hasahisa,الحصاحيصا,SD15034,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Kamlin,الكاملين,SD15035,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Manaqil,المناقل,SD15036,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Qurashi,القرشي,SD15037,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Abu Hamad,أبو حمد,SD16008,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Matama,المتمة,SD16009,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Shendi,شندي,SD16010,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ad Damar,الدامر,SD16011,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Atbara,عطبرة,SD16012,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
