#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Ampasimadinika Manambolo,MG31310091,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Amboditandroroho,MG31310092,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Mahavelona (Foulpointe),MG31310110,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Sahambala,MG31310130,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ambodilazana,MG31310150,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ampasimbe Onibe,MG31310170,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Mangabe,MG31310191,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Amporoforo,MG31310192,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Antenina,MG31310193,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Andondabe,MG31310211,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Ampisokina,MG31310212,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Andranobolaha,MG31310230,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Fito,MG31310250,,,,Toamasina II,MG31310,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Antanambao Manampontsy,MG31311010,,,,Antanambao Manampontsy,MG31311,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Mahela,MG31311030,,,,Antanambao Manampontsy,MG31311,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Saivaza,MG31311050,,,,Antanambao Manampontsy,MG31311,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Antanandehibe,MG31311070,,,,Antanambao Manampontsy,MG31311,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Manakana,MG31311090,,,,Antanambao Manampontsy,MG31311,Atsinanana,MG31,Madagascar,MG,2010-12-31,2020-02-20,
Sainte Marie,MG32302019,,,,Sainte Marie,MG32302,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Maroantsetra,MG32303010,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Anjanazana,MG32303031,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Manambolo,MG32303032,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Andranofotsy,MG32303051,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Antakotako,MG32303052,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ankofa,MG32303070,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambinanitelo,MG32303090,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Anjahana,MG32303111,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambanizana,MG32303112,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Mahalevona,MG32303113,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Voloina,MG32303131,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ankofabe,MG32303132,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Antsirabe Sahatany,MG32303133,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Rantabe,MG32303151,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Morafeno,MG32303152,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Androndrono,MG32303153,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambodimanga Rantabe,MG32303154,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Anandrivola,MG32303155,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Mananara Avaratra,MG32304011,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambodivoanio,MG32304012,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Imorona,MG32304013,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Antanambaobe,MG32304031,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Antanananivo,MG32304032,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Manambolosy,MG32304050,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambodiampana,MG32304070,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Sandrakatsy,MG32304091,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Tanibe,MG32304092,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambatoharanana,MG32304093,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Antanambe,MG32304110,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Saromaona,MG32304130,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Vanono,MG32304151,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Andasibe I,MG32304152,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Fenerive Est,MG32305010,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambodimanga II,MG32305030,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Mahambo,MG32305050,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ampasina Maningory,MG32305070,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambatoharanana,MG32305090,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Vohilengo,MG32305110,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Saranambana,MG32305130,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ampasimbe Manantsatrana,MG32305150,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Miorimivalana,MG32305170,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Vohipeno,MG32305190,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Antsiatsiaka,MG32305210,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Mahanoro,MG32305238,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Vavatenina,MG32315010,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Maromitety,MG32315030,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambohibe,MG32315050,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ampasimazava,MG32315070,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Anjahambe,MG32315091,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambatoharanana,MG32315092,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Andasibe,MG32315110,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Miarinarivo,MG32315130,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Sahatavy,MG32315150,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambodimangavalo,MG32315170,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Soanierana Ivongo,MG32318011,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Fotsialanana,MG32318012,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Antanifotsy,MG32318030,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambodiampana,MG32318050,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Andapafito,MG32318070,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Ambahoabe,MG32318090,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Manompana,MG32318110,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Antenina,MG32318130,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
Amparafaravola,MG33312011,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Bedidy,MG33312012,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimandroso,MG33312013,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Sahamamy,MG33312014,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomainty,MG33312031,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ampasikely,MG33312032,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Andrebakely Sud,MG33312033,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitrarivo,MG33312051,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Anororo,MG33312052,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Morarano Chrome,MG33312071,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ranomainty,MG33312072,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambohijanahary,MG33312090,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Tanambe,MG33312111,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Beanana,MG33312112,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Vohitsara,MG33312113,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Amboavory,MG33312131,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Andilana Nord,MG33312132,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambodimanga,MG33312133,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Vohimena,MG33312151,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Andrebakely Nord,MG33312152,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambatondrazaka,MG33313010,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Feramanga Nord,MG33313031,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambatondrazaka Suburbaine,MG33313032,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambandrika,MG33313033,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ampitatsimo,MG33313050,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitsilaozana,MG33313070,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ilafy,MG33313090,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Manakambahiny Andrefana,MG33313111,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Antsangasanga,MG33313112,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambatosoratra,MG33313130,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Andilanatoby,MG33313151,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Bejofo,MG33313152,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Didy,MG33313170,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Imerimandroso,MG33313191,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Amparihintsokatra,MG33313192,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Antanandava,MG33313193,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Andromba,MG33313194,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Manakambahiny Antsinanana,MG33313210,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Soalazaina,MG33313231,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Tanambao Besakay,MG33313232,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Moramanga,MG33314010,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambohibary,MG33314030,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ampasimpotsy Gara,MG33314050,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Andasibe,MG33314070,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Anosibe Ifody,MG33314091,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Vodiriana,MG33314092,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Morarano Gara,MG33314110,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Belavabary,MG33314130,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Sabotsy Anjiro,MG33314150,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambohidronono,MG33314170,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Beforona,MG33314190,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambatovola,MG33314210,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Lakato,MG33314230,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Amboasary,MG33314250,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Fierenana,MG33314270,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Mandialaza,MG33314291,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Antaniditra,MG33314292,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ampasipotsy Mandialaza,MG33314293,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Antanandava,MG33314310,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Mangarivotra,MG33314330,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Andaingo,MG33314350,,,,Moramanga,MG33314,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Andilamena,MG33316011,,,,Andilamena,MG33316,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Bemaitso,MG33316012,,,,Andilamena,MG33316,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Antanimenabaka,MG33316031,,,,Andilamena,MG33316,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Tanananifololahy,MG33316032,,,,Andilamena,MG33316,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Maroadabo,MG33316051,,,,Andilamena,MG33316,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Marovato,MG33316052,,,,Andilamena,MG33316,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Miarinarivo,MG33316071,,,,Andilamena,MG33316,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Maitsokely,MG33316072,,,,Andilamena,MG33316,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Anosibe An'ala,MG33317011,,,,Anosibe-An'ala,MG33317,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ampasimaneva,MG33317012,,,,Anosibe-An'ala,MG33317,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ampandroantraka,MG33317031,,,,Anosibe-An'ala,MG33317,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Tratramarina,MG33317032,,,,Anosibe-An'ala,MG33317,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Antandrokomby,MG33317051,,,,Anosibe-An'ala,MG33317,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambalaomby,MG33317052,,,,Anosibe-An'ala,MG33317,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Niarovana Marosampanana,MG33317053,,,,Anosibe-An'ala,MG33317,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Tsaravinany,MG33317054,,,,Anosibe-An'ala,MG33317,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Longozabe,MG33317071,,,,Anosibe-An'ala,MG33317,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Ambatoharanana,MG33317072,,,,Anosibe-An'ala,MG33317,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
Mahajanga,MG41401001,,,,Mahajanga I,MG41401,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Mahabibo,MG41401002,,,,Mahajanga I,MG41401,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Soalala,MG41403010,,,,Soalala,MG41403,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Ambohipaky,MG41403030,,,,Soalala,MG41403,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Andranomavo,MG41403050,,,,Soalala,MG41403,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Ambato Ambarimay,MG41405019,,,,Ambato Boeni,MG41405,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Ankijabe,MG41405051,,,,Ambato Boeni,MG41405,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Andranofasika,MG41405052,,,,Ambato Boeni,MG41405,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Madirovalo,MG41405070,,,,Ambato Boeni,MG41405,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Anjiajia,MG41405090,,,,Ambato Boeni,MG41405,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Tsaramandroso,MG41405111,,,,Ambato Boeni,MG41405,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Ambondromamy,MG41405112,,,,Ambato Boeni,MG41405,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Ankirihitra,MG41405130,,,,Ambato Boeni,MG41405,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Andranomamy,MG41405150,,,,Ambato Boeni,MG41405,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Manerinerina,MG41405170,,,,Ambato Boeni,MG41405,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Sitampiky,MG41405190,,,,Ambato Boeni,MG41405,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Marovoay Ville,MG41406010,,,,Marovoay,MG41406,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Marovoay Banlieue,MG41406031,,,,Marovoay,MG41406,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Antanambao Andranolava,MG41406032,,,,Marovoay,MG41406,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Anosinalainolona,MG41406033,,,,Marovoay,MG41406,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Ambolomoty,MG41406051,,,,Marovoay,MG41406,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Marovoay,MG41406052,,,,Marovoay,MG41406,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Tsararano,MG41406070,,,,Marovoay,MG41406,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Ankazomborona,MG41406090,,,,Marovoay,MG41406,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Manaratsandry,MG41406111,,,,Marovoay,MG41406,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Antanimasaka,MG41406112,,,,Marovoay,MG41406,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Bemaharivo,MG41406130,,,,Marovoay,MG41406,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Ankaraobato,MG41406158,,,,Marovoay,MG41406,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Mitsinjo,MG41407011,,,,Mitsinjo,MG41407,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Antseza,MG41407012,,,,Mitsinjo,MG41407,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Antongomena Bevary,MG41407030,,,,Mitsinjo,MG41407,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Matsakabanja,MG41407050,,,,Mitsinjo,MG41407,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Katsepy,MG41407070,,,,Mitsinjo,MG41407,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Bekipay,MG41407091,,,,Mitsinjo,MG41407,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Ambarimaninga,MG41407092,,,,Mitsinjo,MG41407,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Belobaka,MG41415011,,,,Mahajanga II,MG41415,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Boanamary,MG41415012,,,,Mahajanga II,MG41415,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Ambalakida,MG41415031,,,,Mahajanga II,MG41415,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Betsako,MG41415032,,,,Mahajanga II,MG41415,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Mariarano,MG41415050,,,,Mahajanga II,MG41415,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Bekobay,MG41415071,,,,Mahajanga II,MG41415,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Andranoboka,MG41415072,,,,Mahajanga II,MG41415,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Mahajamba Usine,MG41415091,,,,Mahajanga II,MG41415,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Ambalabe Befanjava,MG41415092,,,,Mahajanga II,MG41415,Boeny,MG41,Madagascar,MG,2010-12-31,2020-02-20,
Port Berge,MG42409010,,,,Port-Berge (Boriziny-Vaovao),MG42409,Sofia,MG42,Madagascar,MG,2010-12-31,2020-02-20,
Ambanjabe,MG42409031,,,,Port-Berge (Boriziny-Vaovao),MG42409,Sofia,MG42,Madagascar,MG,2010-12-31,2020-02-20,
Tsaratanana I,MG42409032,,,,Port-Berge (Boriziny-Vaovao),MG42409,Sofia,MG42,Madagascar,MG,2010-12-31,2020-02-20,
Tsarahasina,MG42409050,,,,Port-Berge (Boriziny-Vaovao),MG42409,Sofia,MG42,Madagascar,MG,2010-12-31,2020-02-20,
