admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
#adm2+name+i_es,#adm2+code+pcode,,#adm2+name+i_es,#adm2+name+i_es,#adm1+name+i_es,#adm1+code+pcode,#adm0+name+i_es,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Buenavista de Cuéllar,MX12015,Buenavista de Cuellar,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Burgos,MX28005,,,,Tamaulipas,MX28,México,MX,2018-02-02,2020-06-18,
Bustamante,MX19008,,,,Nuevo León,MX19,México,MX,2018-02-02,2020-06-18,
Bustamante,MX28006,,,,Tamaulipas,MX28,México,MX,2018-02-02,2020-06-18,
Cabo Corrientes,MX14020,,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Caborca,MX26017,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Cacahoatán,MX07015,Cacahoatan,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Cacalchén,MX31007,Cacalchen,,,Yucatán,MX31,México,MX,2018-02-02,2020-06-18,
Cadereyta de Montes,MX22004,,,,Querétaro de Arteaga,MX22,México,MX,2018-02-02,2020-06-18,
Cadereyta Jiménez,MX19009,Cadereyta Jimenez,,,Nuevo León,MX19,México,MX,2018-02-02,2020-06-18,
Cajeme,MX26018,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Calakmul,MX04010,,,,Campeche,MX04,México,MX,2018-02-02,2020-06-18,
Calcahualco,MX30029,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Calera,MX32005,,,,Zacatecas,MX32,México,MX,2018-02-02,2020-06-18,
Calihualá,MX20011,Calihuala,,,Oaxaca,MX20,México,MX,2018-02-02,2020-06-18,
Calimaya,MX15018,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Calkiní,MX04001,Calkini,,,Campeche,MX04,México,MX,2018-02-02,2020-06-18,
