admin2Name_en,admin2Name_mn,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_mn,admin2AltName2_mn,admin1Name_en,admin1Name_mn,admin1Pcode,admin0Name_en,admin0Name_mn,admin0Pcode,date,validOn,validTo
#adm2+name+i_en,#adm2+name+i_mn,#adm2+code+pcode,,#adm2+name+i_en,#adm2+name+i_en,#adm2+name+i_mn,#adm2+name+i_mn,#adm1+name+i_en,#adm1+name+i_mn,#adm1+code+pcode,#adm0+name+i_en,#adm0+name+i_mn,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Erdene,Эрдэнэ,MN8252,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Erdenebu'ren,Эрдэнэбүрэн,MN8449,Erdeneburen,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Erdenebulgan,Эрдэнэбулган,MN6501,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Erdenebulgan,Эрдэнэбулган,MN6767,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Erdenecagaan,Эрдэнэцагаан,MN2237,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Erdenecogt,Эрдэнэцогт,MN6458,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Erdenedalai,Эрдэнэдалай,MN4843,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Erdenemandal,Эрдэнэмандал,MN6555,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Erdenesant,Эрдэнэсант,MN4179,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Erdenexairxan,Эрдэнэхайрхан,MN8167,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Galshir,Галшар,MN2325,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Galt,Галт,MN6716,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Galuut,Галуут,MN6434,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Govi-Ugtaal,Говь-Угтаал,MN4810,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Guchin-Us,Гучин-Ус,MN6222,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Gurvanbulag,Гурван булаг,MN6316,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Gurvanbulag,Гурванбулаг,MN6437,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Gurvansaixan,Гурвансайхан,MN4813,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Gurvantes,Гурвантэс,MN4613,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Gurvanzagal,Гурванзагал,MN2116,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Herlen,Хэрлэн,MN2101,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ider,Идэр,MN8122,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ix-Uul,Их-Уул,MN6722,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ix-Uul,Их-Уул,MN8125,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
