qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:68:2:516,516,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:516,Enrique Baldivieso,BO0516,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:601,601,1603:45:16:68:0,1603:45:16:68:1:6,1603:45:16:68:2:601,Cercado,BO0601,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:602,602,1603:45:16:68:0,1603:45:16:68:1:6,1603:45:16:68:2:602,Arce,BO0602,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:603,603,1603:45:16:68:0,1603:45:16:68:1:6,1603:45:16:68:2:603,Gran Chaco,BO0603,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:604,604,1603:45:16:68:0,1603:45:16:68:1:6,1603:45:16:68:2:604,Avilés,BO0604,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:605,605,1603:45:16:68:0,1603:45:16:68:1:6,1603:45:16:68:2:605,Méndez,BO0605,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:606,606,1603:45:16:68:0,1603:45:16:68:1:6,1603:45:16:68:2:606,O'Connor,BO0606,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:701,701,1603:45:16:68:0,1603:45:16:68:1:7,1603:45:16:68:2:701,Andrés Ibáñez,BO0701,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:702,702,1603:45:16:68:0,1603:45:16:68:1:7,1603:45:16:68:2:702,Warnes,BO0702,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:703,703,1603:45:16:68:0,1603:45:16:68:1:7,1603:45:16:68:2:703,Velasco,BO0703,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
